class	occurrences	chapters
lect-header	11	ch001, ch002, ch003, ch004, ch008, ch009, ch010, ch013, ch014, ch018, ch019
lect-q	15	ch001, ch002, ch003, ch004, ch008, ch009, ch010, ch013, ch014, ch018, ch019
lecture-block	11	ch001, ch002, ch003, ch004, ch008, ch009, ch010, ch013, ch014, ch018, ch019
location-stamp	35	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
ls-date	35	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
ls-place	35	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
ls-sub	35	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
mb-label	17	ch001, ch002, ch004, ch005, ch006, ch007, ch008, ch010, ch011, ch012, ch014, ch015, ch016, ch017, ch018, ch019, ch020
mb-voice	53	ch001, ch002, ch004, ch005, ch006, ch007, ch008, ch010, ch011, ch012, ch014, ch015, ch016, ch017, ch018, ch019, ch020
memory-block	17	ch001, ch002, ch004, ch005, ch006, ch007, ch008, ch010, ch011, ch012, ch014, ch015, ch016, ch017, ch018, ch019, ch020
menu-block	2	ch011, ch017
mn-course	3	ch011, ch017
mn-desc	5	ch011, ch017
mn-dish	5	ch011, ch017
mn-header	2	ch011, ch017
mn-rule	2	ch011, ch017
mn-sub	2	ch011, ch017
nd-headline	2	ch010, ch013
nd-source	2	ch010, ch013
news-digest	2	ch010, ch013
official-statement	3	ch008, ch012, ch016
os-clause	3	ch016
os-masthead	3	ch008, ch012, ch016
os-meta	2	ch008, ch012
os-note	3	ch008, ch012, ch016
os-title	2	ch008, ch012
page-wrapper	20	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
pc-head	3	ch006, ch007, ch016
pc-me	18	ch007, ch016
pc-note	15	ch006, ch007, ch016
pc-them	16	ch007, ch016
pd-choice	1	ch002
pd-firm	4	ch002
pd-foot	1	ch002
pd-mark	1	ch002
pd-position	4	ch002
pd-rank	4	ch002
pd-slide	4	ch002
pd-slides	1	ch002
pd-strength	4	ch002
pd-title	1	ch002
phone-call	3	ch006, ch007, ch016
pitch-deck	1	ch002
pullquote	20	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
rec-dot	1	ch002
rec-header	1	ch002
rec-note	1	ch002
rec-time	1	ch002
rec-voice	1	ch002
rec-voice2	1	ch002
recording-block	1	ch002
scene-break	27	ch001, ch002, ch003, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch015, ch016, ch017, ch018, ch019, ch020
self	1	ch020
sinister	1	ch016
sound-effect	10	ch004, ch005, ch006, ch008, ch009, ch010, ch011
sp-bar	27	ch001, ch003, ch008, ch011, ch014, ch019, ch020
sp-header	10	ch001, ch002, ch003, ch004, ch005, ch008, ch011, ch014, ch019, ch020
sp-label	43	ch001, ch002, ch003, ch004, ch005, ch008, ch011, ch014, ch019, ch020
sp-note	10	ch001, ch002, ch003, ch004, ch005, ch008, ch011, ch014, ch019, ch020
sp-row	43	ch001, ch002, ch003, ch004, ch005, ch008, ch011, ch014, ch019, ch020
sp-subject	8	ch001, ch002, ch003, ch004, ch005, ch008, ch011, ch014
sp-total	4	ch001, ch002, ch003, ch005
sp-value	35	ch001, ch002, ch003, ch004, ch005, ch008, ch011, ch014
status-panel	10	ch001, ch002, ch003, ch004, ch005, ch008, ch011, ch014, ch019, ch020
sys-header	9	ch001, ch002, ch009, ch013, ch019
sys-key	37	ch001, ch002, ch009, ch013, ch019
sys-line	37	ch001, ch002, ch009, ch013, ch019
sys-note	6	ch001, ch002, ch009, ch013, ch019
sys-value	29	ch001, ch002, ch009, ch019
system-block	9	ch001, ch002, ch009, ch013, ch019
thought	84	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
wardrobe-block	11	ch002, ch004, ch005, ch008, ch009, ch010, ch011, ch013, ch014, ch017, ch020
wd-effect	11	ch002, ch004, ch005, ch008, ch009, ch010, ch011, ch013, ch014, ch017, ch020
wd-header	11	ch002, ch004, ch005, ch008, ch009, ch010, ch011, ch013, ch014, ch017, ch020
wd-item	46	ch002, ch004, ch005, ch008, ch009, ch010, ch011, ch013, ch014, ch017, ch020
wd-label	46	ch002, ch004, ch005, ch008, ch009, ch010, ch011, ch013, ch014, ch017, ch020
wd-note	11	ch002, ch004, ch005, ch008, ch009, ch010, ch011, ch013, ch014, ch017, ch020
wd-photo	11	ch002, ch004, ch005, ch008, ch009, ch010, ch011, ch013, ch014, ch017, ch020
wd-sub	9	ch002, ch004, ch005, ch008, ch009, ch010, ch011, ch013, ch014
wh-close	6	ch001, ch006, ch013, ch015, ch017, ch018
wh-label	6	ch001, ch006, ch013, ch015, ch017, ch018
wh-note	6	ch001, ch006, ch013, ch015, ch017, ch018
wh-reply	6	ch001, ch006, ch013, ch015, ch017, ch018
wh-voice	6	ch001, ch006, ch013, ch015, ch017, ch018
whisper-block	6	ch001, ch006, ch013, ch015, ch017, ch018
